DATE,AAA10Y,DAAA,BAA10Y,DBAA,THREEFY1,THREEFY10,THREEFY2,THREEFY3,THREEFY4,THREEFY5,THREEFY6,THREEFY7
1990-11-26,0.96,9.23,2.25,10.52,7.2793,8.3114,7.4424,7.5829,7.7089,7.8248,7.9332,8.0354
1990-11-27,0.93,9.21,2.23,10.51,7.2897,8.3246,7.4563,7.5980,7.7242,7.8399,7.9479,8.0497
1990-11-28,0.90,9.20,2.22,10.52,7.3224,8.3552,7.4954,7.6384,7.7637,7.8778,7.9840,8.0842
1990-11-29,0.85,9.17,2.23,10.55,7.3394,8.3670,7.5199,7.6639,7.7876,7.8993,8.0031,8.1010
1990-11-30,0.91,9.17,2.27,10.53,7.3188,8.3292,7.4955,7.6361,7.7571,7.8667,7.9688,8.0655
1990-12-03,0.92,9.14,2.25,10.47,7.3097,8.2799,7.4752,7.6076,7.7225,7.8276,7.9264,8.0206
1990-12-04,0.95,9.15,2.28,10.48,7.2725,8.2415,7.4374,7.5694,7.6841,7.7890,7.8877,7.9819
1990-12-05,0.98,9.14,2.31,10.47,7.2508,8.2111,7.4151,7.5456,7.6587,7.7623,7.8599,7.9531
1990-12-06,0.94,9.12,2.29,10.47,7.2545,8.2159,7.4242,7.5560,7.6688,7.7715,7.8680,7.9602
1990-12-07,1.06,9.09,2.40,10.43,7.1541,8.0864,7.3098,7.4341,7.5428,7.6432,7.7386,7.8303
1990-12-10,1.09,9.07,2.38,10.36,7.1061,8.0265,7.2601,7.3822,7.4888,7.5874,7.6814,7.7721
1990-12-11,1.11,9.05,2.42,10.36,7.0824,7.9843,7.2327,7.3513,7.4548,7.5511,7.6432,7.7324
1990-12-12,1.09,9.00,2.45,10.36,7.0502,7.9438,7.2024,7.3201,7.4219,7.5163,7.6068,7.6946
1990-12-13,1.01,8.99,2.38,10.36,7.0834,8.0148,7.2535,7.3806,7.4875,7.5846,7.6766,7.7652
1990-12-14,0.97,9.02,2.37,10.42,7.1124,8.0913,7.2986,7.4361,7.5499,7.6518,7.7470,7.8380
1990-12-17,1.00,9.02,2.42,10.44,7.1003,8.0915,7.2890,7.4287,7.5444,7.6479,7.7444,7.8363
1990-12-18,1.02,9.01,2.40,10.39,7.0703,8.0633,7.2607,7.4010,7.5167,7.6200,7.7164,7.8082
1990-12-19,1.01,9.01,2.41,10.41,6.9922,8.0537,7.1960,7.3487,7.4749,7.5868,7.6901,7.7874
1990-12-20,0.98,9.03,2.41,10.46,6.9716,8.1096,7.2051,7.3751,7.5119,7.6305,7.7382,7.8386
1990-12-21,0.94,9.05,2.39,10.50,6.9934,8.1985,7.2502,7.4350,7.5815,7.7066,7.8188,7.9224
1990-12-24,0.85,9.05,2.29,10.49,7.0175,8.3037,7.3055,7.5087,7.6666,7.7990,7.9160,8.0228
1990-12-25,.,.,.,.,.,.,.,.,.,.,.,.
1990-12-26,0.89,9.04,2.33,10.48,6.9868,8.2783,7.2798,7.4847,7.6429,7.7751,7.8918,7.9982
1990-12-27,0.92,9.03,2.34,10.45,6.9641,8.2402,7.2549,7.4571,7.6127,7.7427,7.8576,7.9627
1990-12-28,0.88,9.02,2.32,10.46,6.9482,8.2650,7.2528,7.4638,7.6252,7.7592,7.8768,7.9839
1990-12-31,0.97,9.05,2.35,10.43,6.8864,8.2208,7.1884,7.4011,7.5657,7.7030,7.8238,7.9336
1991-01-01,.,.,.,.,.,.,.,.,.,.,.,.
1991-01-02,1.04,9.01,2.42,10.39,6.8253,8.1352,7.1043,7.3082,7.4704,7.6082,7.7306,7.8425
1991-01-03,1.07,9.00,2.43,10.36,6.7943,8.0878,7.0612,7.2599,7.4203,7.5578,7.6806,7.7930
1991-01-04,0.99,9.01,2.38,10.40,6.8572,8.1472,7.1275,7.3267,7.4864,7.6228,7.7443,7.8555
1991-01-07,0.90,9.03,2.34,10.47,6.9001,8.2417,7.1882,7.3989,7.5661,7.7075,7.8325,7.9462
1991-01-08,0.87,9.03,2.34,10.50,6.8682,8.2737,7.1688,7.3911,7.5683,7.7178,7.8493,7.9681
1991-01-09,0.80,9.05,2.29,10.54,6.8229,8.3603,7.1672,7.4178,7.6138,7.7765,7.9173,8.0429
1991-01-10,0.90,9.06,2.37,10.53,6.7609,8.3261,7.1152,7.3717,7.5715,7.7366,7.8792,8.0061
1991-01-11,0.86,9.06,2.29,10.49,6.7327,8.3386,7.1062,7.3727,7.5777,7.7456,7.8897,8.0176
1991-01-14,0.85,9.08,2.29,10.52,6.7074,8.3624,7.1128,7.3931,7.6036,7.7732,7.9173,8.0443
1991-01-15,0.88,9.10,2.33,10.55,6.6851,8.3525,7.1037,7.3887,7.6000,7.7689,7.9118,8.0376
1991-01-16,0.88,9.12,2.36,10.60,6.7001,8.3715,7.1363,7.4258,7.6362,7.8022,7.9417,8.0642
1991-01-17,1.00,9.05,2.40,10.45,6.7009,8.2315,7.1055,7.3681,7.5567,7.7056,7.8316,7.9437
1991-01-18,1.02,9.05,2.40,10.43,6.6914,8.1744,7.0907,7.3453,7.5261,7.6679,7.7883,7.8957
1991-01-21,.,9.07,.,10.45,.,.,.,.,.,.,.,.
1991-01-22,0.98,9.05,2.38,10.45,6.6786,8.1720,7.0851,7.3427,7.5246,7.6667,7.7869,7.8941
1991-01-23,1.01,9.05,2.41,10.45,6.6691,8.1555,7.0655,7.3198,7.5014,7.6444,7.7658,7.8743
1991-01-24,1.04,9.04,2.41,10.41,6.6515,8.1258,7.0363,7.2863,7.4668,7.6101,7.7324,7.8419
1991-01-25,0.98,9.04,2.40,10.46,6.6831,8.1624,7.0688,7.3198,7.5011,7.6452,7.7681,7.8779
1991-01-28,0.97,9.03,2.37,10.43,6.7057,8.1655,7.0800,7.3258,7.5049,7.6481,7.7707,7.8806
1991-01-29,0.96,9.01,2.32,10.37,6.7020,8.1479,7.0656,7.3071,7.4847,7.6277,7.7507,7.8612
1991-01-30,0.95,9.00,2.30,10.35,6.6901,8.1494,7.0509,7.2936,7.4739,7.6197,7.7453,7.8580
1991-01-31,0.96,8.99,2.30,10.33,6.6656,8.1403,7.0235,7.2677,7.4508,7.5998,7.7282,7.8435
1991-02-01,1.05,8.96,2.33,10.24,6.5062,8.0392,6.8570,7.1072,7.3007,7.4606,7.5991,7.7231
1991-02-04,1.02,8.90,2.31,10.19,6.4397,8.0071,6.7909,7.0459,7.2452,7.4106,7.5541,7.6822
1991-02-05,1.04,8.89,2.30,10.15,6.4041,7.9848,6.7534,7.0097,7.2114,7.3794,7.5252,7.6554
1991-02-06,1.10,8.89,2.34,10.13,6.3776,7.9834,6.7374,6.9995,7.2046,7.3745,7.5216,7.6526
1991-02-07,1.02,8.84,2.28,10.10,6.3738,8.0018,6.7402,7.0069,7.2152,7.3875,7.5363,7.6687
1991-02-08,1.05,8.82,2.29,10.06,6.2970,7.9681,6.6927,6.9717,7.1845,7.3579,7.5063,7.6378
1991-02-11,1.00,8.78,2.24,10.02,6.3200,7.9635,6.7066,6.9797,7.1886,7.3593,7.5058,7.6358
1991-02-12,0.98,8.76,2.22,10.00,6.3247,7.9563,6.7081,6.9789,7.1860,7.3554,7.5008,7.6300
1991-02-13,0.97,8.75,2.20,9.98,6.3257,7.9537,6.7066,6.9763,7.1831,7.3523,7.4978,7.6271
1991-02-14,0.98,8.78,2.20,10.00,6.3187,7.9600,6.7015,6.9736,7.1824,7.3535,7.5005,7.6310
1991-02-15,1.02,8.80,2.23,10.01,6.3400,7.9655,6.7183,6.9871,7.1937,7.3631,7.5089,7.6384
1991-02-18,.,.,.,.,.,.,.,.,.,.,.,.
1991-02-19,1.01,8.81,2.22,10.02,6.3829,7.9880,6.7607,7.0267,7.2299,7.3961,7.5389,7.6661
1991-02-20,0.97,8.81,2.20,10.04,6.3957,8.0032,6.7773,7.0445,7.2478,7.4136,7.5560,7.6826
1991-02-21,0.93,8.81,2.15,10.03,6.4126,8.0334,6.8053,7.0769,7.2816,7.4474,7.5892,7.7151
1991-02-22,0.90,8.81,2.14,10.05,6.4508,8.0725,6.8559,7.1305,7.3343,7.4978,7.6369,7.7603
1991-02-25,0.91,8.82,2.12,10.03,6.4727,8.0668,6.8758,7.1461,7.3453,7.5046,7.6402,7.7606
1991-02-26,0.87,8.83,2.10,10.06,6.5157,8.1101,6.9215,7.1926,7.3917,7.5506,7.6857,7.8054
